,original,obfuscated,level,recovered,recover_score
0,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Fr33 3ntr7 1n 2 4 w33kl7 c0mp t0 w1n F4 CUp f1n4l tkts 21st M47 2005. Txt F4 t0 87121 t0 r3c31v3 3ntry qu3st10n(st4d txt r4t3)T&C's 4ppl7 084528100750v3r18's,L1,free entr7 1n 24 w33kl7 comp to w1n f4 cup f1n4l tkts 21st m47 2oo5. txt f4 to 87121 to r3c31v3 entry quest1on(st4d txt r4te)t&c's 4ppl7 o845281oo75over18's,0.7781350482315113
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Fr33 3ntr7 1n 2 @ w33kl7 c0mp t0 w1n F4 CUp f1n4l tkts 21st M47 2005. Txt F4 t0 87121 t0 r3c31v3 3ntry qu3st10n(st4d txt r4t3)T&C's 4ppl7 084528100750v3r18's,L2,free entr7 1n 2 a w33kl7 comp to w1n f4 cup f1n4l tkts 21st m47 2oo5. txt f4 to 87121 to r3c31v3 entry quest1on(st4d txt r4te)t&c's 4ppl7 o845281oo75over18's,0.7884615384615384
2,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Fr33 entr7 1n 2 a wkly comp 2 win FA Cup fin tkts 21st May 2005. Txt FA 2 87121 2 rec entry qu3stn(stnd txt r8)T&C's appl 08452810075ov18's,L3,free entr7 1n 2a wkly comp 2 win fa cup fin tkts 21st may 2oo5. txt fa 2 87121 2 rec entry questn(stnd txt r8)t&c's appl o845281oo75ov18's,0.7918088737201365
3,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Fr.3.3. .3n.tr.7. .1n. 2. .a. .w.k.l.y. .c.o.m.p. .t.0. .w.1.n. .F.A. .C.U.p. .f.i.n.a.l. .t.k.t.s. .2.1.s.t. .M.a.y. .2.0.0.5. .T.x.t. .F.A. .t.0. .8.7.1.2.1. .t.0. .r.e.c.e.1.v.3. .e.n.t.r.y. .q.u.3.s.t.1.0.n.(s.t.d. .t.x.t. .r.4.t.3.)T.&.C.'s. .a.p.p.l.7. .0.8.4.5.2.8.1.0.0.7.5.0.v.3.r.1.8.'s,L4,fr.e.e. .en.tr.7. .1n. 2. .a. .w.k.l.y. .c.o.m.p. .t.o. .w.1.n. .f.a. .c.u.p. .f.i.n.a.l. .t.k.t.s. .2.1.s.t. .m.a.y. .2.o.o.5. .t.x.t. .f.a. .t.o. .8.7.1.2.1. .t.o. .r.e.c.e.1.v.e. .e.n.t.r.y. .q.u.e.s.t.1.o.n.(s.t.d. .t.x.t. .r.4.t.e.)t.&.c.'s. .a.p.p.l.7. .o.8.4.5.2.8.1.o.o.7.5.o.v.e.r.1.8.'s,0.5853658536585367
4,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,f r e e   e n t r y   i n   2   a   w k l y   c o m p   t o   w i n   f a   c u p   f i n a l   t k t s   2 1 s t   m a y   2 0 0 5   t e x t   f a   t o   8 7 1 2 1   t o   r e c e i v e   e n t r y   q u e s t i o n ( s t d   t x t   r a t e ) T & C ' s   a p p l y   0 8 4 5 2 8 1 0 0 7 5 o v e r 1 8 ' s,L5,freeentryin2awklycomptowinfacupfinaltkts21stmay2005textfato87121toreceiveentryquestion ( stdtxtrate ) t & c ' sapply08452810075over18 ' s,0.8013698630136986
5,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Fr33 3ntr7 1n 2 α wκε3kl7 c0mp t0 w1n F4 Cσp fιnαl tkts 21st Mα7 2005. Txt F4 t0 87121 t0 r3c31v3 3ntry qυ3st10n(st4d txt r4t3)T&C's 4ppl7 084528100750v3r18's,L6,free entr7 1n 2α wκεekl7 comp to w1n f4 cσp fιnαl tkts 21st mα7 2oo5. txt f4 to 87121 to r3c31v3 entry qυest1on(st4d txt r4te)t&c's 4ppl7 o845281oo75over18's,0.7628205128205127
6,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Fr33 3ntr7 1n 2 a w33kly c0mp t0 w1n F4 CUp fιnαl tkts 21st Mα7 2005. Txt FA t0 87121 t0 r3c31v3 entr7 qu3st10n(st4d txt r4t3)T&C's 4ppl7 084528100750v3r18's,L7,free entr7 1n 2a w33kly comp to w1n f4 cup fιnαl tkts 21st mα7 2oo5. txt fa to 87121 to r3c31v3 entr7 quest1on(st4d txt r4te)t&c's 4ppl7 o845281oo75over18's,0.7845659163987138
7,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Fr33 3ntr7 1n 2 a wkly c0mp t0 w1n FA CUp fιnαl tkts 21st Mα7 2005. Txt FA t0 8-7-1-2-1 t0 r3c31v3 entr7 qu3st10n(st4d txt r4t3)T&C's 4ppl7 0-8-4-5-2-8-1-0-0-7-50v3r18's,L8,free entr7 1n 2a wkly comp to w1n fa cup fιnαl tkts 21st mα7 2oo5. txt fa to 8-7-1-2-1 to r3c31v3 entr7 quest1on(st4d txt r4te)t&c's 4ppl7 o-8-4-5-2-8-1-o-o-7-5over18's,0.7554179566563468
8,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,🄵🅁🅔🅔 🅔🅝🅣🅡🅨 🅘🅝 2 🅐 🅜🅔🅒🅛🅨 📐🅜🅟 📈🅞 🅛🅞🅝 📐 📐🅤🅟 📑🅘🅝🅐🅛 📗🅚🅣🅢 21$T 🅜🅐🅨 2005. 📉🅣🅣 📐🅐 📈🅞 📐87121 📈🅞 📗🅔🅔🅘🅅🅔 📗🅔🅝🅣🅡🅨 📒🅤🅔🅢🅣🅘🅞🅝(🅢🅣🅓 📉🅣🅣 📗🅐🅣🅔)🅣&🅒'🅢 4557 084528100750ⓥ🅔🅡18'🅢,L9,FR🅔🅔 🅔🅝🅣🅡🅨 🅘🅝 2 🅐 🅜🅔🅒🅛🅨 📐🅜🅟 📈🅞 🅛🅞🅝 📐 📐🅤🅟 📑🅘🅝🅐🅛 📗🅚🅣🅢 21st 🅜🅐🅨 2oo5. 📉🅣🅣 📐🅐 📈🅞 📐87121 📈🅞 📗🅔🅔🅘V🅔 📗🅔🅝🅣🅡🅨 📒🅤🅔🅢🅣🅘🅞🅝(🅢🅣🅓 📉🅣🅣 📗🅐🅣🅔)🅣&🅒'🅢 4557 o845281oo75ov🅔🅡18'🅢,0.37662337662337664
9,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,[F].[R].[E].[E] [E][N][T][R][Y] [I][N] 2 [A] [W][K][L][Y] [C][O][M][P] [T][O] [W][I][N] [F][A] [C][U][P] [F][I][N][A][L] [T][K][T][S] 21[S][T] [M][A][Y] 2005. [T][X][T] [F][A] [T][O] 87121 [T][O] [R][E][C][E][I][V][E] [E][N][T][R][Y] [Q][U][E][S][T][,L10,[f].[r].[e].[e] [e][n][t][r][y] [i][n] 2 [a] [w][k][l][y] [c][o][m][p] [t][o] [w][i][n] [f][a] [c][u][p] [f][i][n][a][l] [t][k][t][s] 21[s][t] [m][a][y] 2oo5. [t][x][t] [f][a] [t][o] 87121 [t][o] [r][e][c][e][i][v][e] [e][n][t][r][y] [q][u][e][s][t][,0.4740740740740741
